id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes,repo_evidence,repo_gap,repo_stage,risk
F-001,Anonymous demo mode,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,PARTIAL,,"`EffectiveEntitlementSnapshot.Tier == ""anonymous""`; `proxy.ts` PUBLIC_PATHS allow unauthenticated routes.","No anonymous companion demo, no ~3-interaction cap, no consented lead capture.",Stage 1,Medium
F-002,Registered Free mode,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,EXISTS,,Tier `free` in `EffectiveEntitlementSnapshot`; `AiQuotaPlans` + `IAiQuotaService` meter per feature code.,Needs a companion-specific quota plan row; no change to the tier model itself.,Stage 1,Low
F-003,Profession selection,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,EXISTS,,"`LearnerUser.ActiveProfessionId`, `LearnerGoal.ProfessionId`, `Services/Professions/**`; 13 professions per `CONTEXT.md`.",None. Companion reads this as a core retrieval dimension.,Stage 1,Low
F-004,Exam/version selection,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,PARTIAL,,"`LearnerGoal.ExamFamilyCode`/`ExamTypeCode`/`TargetExamMode`, `LearnerUser.ActiveExamTypeCode`.","No effective-dated exam *version* with current/retired state, so exam-date to version resolution is impossible.",Stage 2,Medium
F-005,Exam date and target,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,EXISTS,,`LearnerGoal.TargetExamDate` + per-subtest `Target*Score` + `OverallGoal`; `app/goals`; `hooks/use-exam-date-gate.ts` (AuthGuard redirects to `/goals?required=examDate`).,None for capture. Replanning on change is F-036.,Stage 1,Low
F-006,Country/regulator goal,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,EXISTS,,"`LearnerGoal.TargetCountry`/`TargetOrganization`, `Services/TargetCountryOptions.cs`; Writing country-aware pass already depends on it.",None.,Stage 1,Low
F-007,Previous result capture,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,PARTIAL,,"`LearnerGoal.PreviousAttempts`, `WeakSubtestsJson`, `ConfidenceLevel`; `LearnerExamOutcome` records admin-verified outcomes.",No learner-entered prior official per-subtest scores as a baseline record.,Stage 2,Low
F-008,Screenshot score import,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,MISSING,,"OCR substrate exists: `Services/Ai/OcrService.cs`, `MistralOcrClient.cs`, `GeminiNativeProvider` multimodal.",No score-report import flow and no confirm-before-save step (source requires explicit confirmation).,Stage 2,Medium
F-009,Study availability,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,PARTIAL,,"`LearnerGoal.StudyHoursPerWeek`, `LearnerSettings.StudyJson`, `app/goals/study-commitment`, `setStudyCommitment`.","No shift pattern, days off, preferred times or travel/leave model. Blocks F-037/F-038.",Stage 2,Medium
F-010,Language/code-switch preference,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,PARTIAL,,"`LearnerUser.Locale`; `i18n.ts` SUPPORTED_LOCALES `[en, ar]`; `app/layout.tsx` sets `<html dir>`.",No per-learner or per-message code-switch preference for the companion.,Stage 1,Low
