ruleId,legacyBodyWas,canonicalBodyNow,severityKept,detectorDisposition
R01.5,"CRITICAL - Suspected cancer = ALWAYS apply Urgent Referral rules, even if the word ""urgent"" is absent.",Suspected cancer does not automatically define task type independently of the task/context; preserve urgency exactly as supported.,yes,neutralized-noop (this change)
R03.4,"CRITICAL - Smoking and drinking: ALWAYS include (positive or negative), EXCEPT when writing to an occupational therapist.",Smoking/alcohol are not universal always-include facts; relevance and reader needs control content.,yes,neutralized-noop (this change)
R03.6,"CRITICAL - Allergy: ALWAYS include (positive or negative) for atopic conditions (asthma, eczema, hay fever). For non-atopic conditions, include allergy only if relevant to the condition or its medication.","Allergy inclusion is relevance/safety driven; the atopic-condition rule is a heuristic, not an official absolute.",yes,neutralized-noop (this change)
R07.9,"Appositive clause: ""Ms Miller, a 25-year-old teacher, presented with..."" - use ""gentleman"" for males, ""lady"" for females (not man/woman). OET Writing Comprehensive Rulebook · The Tutor Book · Dr. Ahmed Hesham · @DrAhmedHesham 08 BODY PARAGRAPHS & VISIT STRUCTURE OET with Dr Hesham - AI Source of Truth v1.0 Medicine Writing FINAL MASTER Rule Book Canonical release: 31 Aug 2026 Page 48",Gentleman/lady is unnecessary and may be dated; use patient/person or an appropriate identifier.,yes,ai-grounded via corrected body (no detector)
R08.7,"CRITICAL - Next visit reference: ""on the following visit"" / ""later on"" / ""later that month"". NEVER ""next visit"".",Next visit is standard English; following visit may be stylistically preferable in some narratives but is not mandatory.,yes,already inert (prior work)
R10.8,"CRITICAL - Resolved conditions and surgery -> PAST SIMPLE. ""She had a cholecystectomy in 2018."" Never use present perfect for surgery.",Present perfect is valid with procedures when current relevance/no finished time supports it (has undergone).,yes,kept (already canonical semantics)
R10.12,"Past perfect (had + past participle): AVOID in OET. Alternative: ING form or noun. ""She reported non-compliance with the advice given.""",Past perfect is valid when needed to establish earlier-past chronology; do not ban it.,yes,ai-grounded via corrected body (no detector)
R10.13,"Reported speech - after reported/mentioned/stated/described: use ING or noun. ""She reported having headaches."" NOT ""...that she had had headaches.""","That-clauses are grammatically valid after report/state/mention; gerund/noun forms are alternatives, not the only forms.",yes,ai-grounded via corrected body (no detector)
R11.8,"CRITICAL - Always include numerical values with units when given. Example: ""glucose of 7.8 mmol/L."" Never write the reference range.",Do not always include every numerical value; include values that are relevant to purpose/reader and preserve units accurately.,yes,kept (already canonical semantics)
R11.11,"Clinic scheduling fractions: 1/4 = once a week; 1/12 = once a year; 3/52 = three times a year; 3/7 = three times a week; 8/24 = eight-hourly; 12/24 = twice a day. OET Writing Comprehensive Rulebook · The Tutor Book · Dr. Ahmed Hesham · @DrAhmedHesham 12 GRAMMAR, VOCABULARY & LINKERS OET with Dr Hesham - AI Source of Truth v1.0 Medicine Writing FINAL MASTER Rule Book Canonical release: 31 Aug 2026 Page 52",Legacy fraction conversions are unsafe/incorrect as a universal rule; interpret source notation from context and never guess.,yes,ai-grounded via corrected body (no detector)
R12.2,"CRITICAL - Never use the word ""patient"" in the body. Use last name + title, or a pronoun.",The word patient is not grammatically or officially forbidden; use names/pronouns/patient according to clarity and style.,yes,already inert (prior work)
