id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes
F-001,Anonymous demo mode,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-002,Registered Free mode,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-003,Profession selection,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-004,Exam/version selection,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-005,Exam date and target,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-006,Country/regulator goal,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-007,Previous result capture,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-008,Screenshot score import,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-009,Study availability,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-010,Language/code-switch preference,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
